CODIGO;MERCADORIA;ESTOQUE;PRECO;OFERTA
0006;LAVADORA 10KG SUGGAR LAVAMAX ECO PRETO 220V;1;590;NAO
0051;LAVADORA 10KG SUGGAR LAVAMAX ECOPRATA 220V;1;590;NAO
0956;LAVADORA 20KG COLORMAQ BRANCO 220V;1;730;NAO
0955;LAVADORA 20KG COLORMAQ PRATA 220V;1;730;NAO
0069;LIQ MALLORY FLASH MIX 450W BRANCO;1;110;NAO
0065;LIQ WALITA 550W PP PRETO 220 VOLTS;1;140;NAO
0871;MAQUINA 12KG CONSUL BRANCO 220V;1;2350;NAO
1012;MESA DE COMPUTADOR FENIX - CAMEL;1;250;NAO
1725;MESA SAFIRA C/ 04 CAD. CASTANHO/NATURAL;1;1060;NAO
1729;MESA SAFIRA EM MADEIRA C/ 06 CAD. MARROM/NATURAL;1;1530;SIM
1920;MESA TUB PEDRA 140 X 75CM - BRANCO;1;430;NAO
1921;MESA TUB PEDRA 140 X 75CM - MT. PRATA;1;430;NAO
1958;MICRO-ONDAS 21L MONDIAL PRETO 220V;1;650;NAO
2047;MULTIPROCESSADOR ARNO VERMELHO 220V 7 EM 1 700W;1;560;NAO
2023;NOBREAK INTELBRAS ATTIV 700VA-350W 220V PRETO;1;550;NAO
0060;PAINEL HB GRID 1.6 - OFF WHITE/NATURE;1;680;NAO
1861;PANELA DE PRESSAO ELETRICA 5L ELECTROLUX;1;570;NAO
1773;PENTEADEIRA DEMOBILE CAMARIM ATRAENTE - BRANCO;1;600;NAO
1058;PNEU MOTO80/100X14 T.STREET.MAGGIO;1;114,03;NAO
1076;RACK ASTER JOSAN - AMENDOA;1;440;NAO
1077;RACK ASTER JOSAN - CAMELO;1;440;NAO
1079;RACK JASPE JOSAN - CAMELO;1;350;NAO
1677;RECAMIER GRECIA SLIM 1,30M COR74 GRUPOIII;1;540;NAO
1676;RECAMIER MANU SLIM 1,30M COR74 GRUPOIII;1;540;NAO
1959;REFRIGERADOR 245L ESMALTEC BRANCO 220V;1;2250;NAO
0994;RELOGIO PAR.RD 24,5CM CLASSICO BC;1;25;NAO
0993;RELOGIO PAR.RD 24,5CM CLASSICO PT;1;25;NAO
0995;RELOGIO PAR.RD 24,5CM DOG AMBIENTE;1;25;NAO
0047;ROUPEIRO 3 PTAS MOVAL LIMA - CASTANHO;1;530;NAO
1111;ROUPEIRO 3 PTAS OREGON TCIL - CACAU/CACAU;1;600;NAO
0115;ROUPEIRO 3 PTAS OREGON TCIL - CINAMOMO/OFF;1;600;NAO
1981;ROUPEIRO 4 PTAS LIGHT PLUS - CINAMO/OFF;1;580;NAO
1980;ROUPEIRO 4 PTAS LIGHT PLUS - CINAMOMO;1;580;NAO
1720;ROUPEIRO 4 PTAS MIRABILIS - AMEND/OFF-W;1;950;NAO
1719;ROUPEIRO 4 PTAS MIRABILIS - AMENDOA;1;950;NAO
2038;ROUPEIRO 4 PTAS MIRABILIS - BRANCO;1;950;NAO
0029;ROUPEIRO 4 PTAS MOVAL CHILE - CASTANHO;1;620;NAO
1113;ROUPEIRO 4 PTAS OREGON TCIL - CINAMOMO/OFF WHITE;1;730;NAO
1888;ROUPEIRO 4 PTS LIGHT PLUS - AMEND/OFF-W;1;580;NAO
1889;ROUPEIRO 4 PTS LIGHT PLUS - AMENDOA;1;580;NAO
1979;ROUPEIRO 4 PTS LIGHT PLUS - BRANCO;1;580;NAO
1743;ROUPEIRO 6 PTAS FORTUNA TCIL - CINAMOMO/OFF WHITE;1;1900;NAO
0040;ROUPEIRO 6 PTAS MOVAL PANAMA - NATURALE/BRANCO;1;850;NAO
1738;ROUPEIRO 6 PTAS OLIMPO TCIL - NEVE/NEVE;1;1600;NAO
1742;ROUPEIRO 6 PTAS OREGON TCIL - CINAMOMO/OFF WHITE;1;1350;NAO
1741;ROUPEIRO 6 PTAS OREGON TCIL - NEVE/NEVE;1;1350;NAO
0096;SANDUICHEIRA 220 GRIL BEST;1;110;NAO
1053;SIFAO SANF.TRIPLO BCO 38A50MM HERC;1;18,43;NAO
1953;SMARTPHONE REALME C 61 DARK GREEN 4GB 256GB NFC;1;1550;NAO
0948;SMARTPHONE SAMSUNG GALAXY A04E 64GB COBRE;1;1100;NAO
1903;SMARTPHONE SAMSUNG GALAXY A06 128GB AZUL ESCURO;1;1050;NAO
1081;TABUA DE PASSAR REALCE - OFF-WHITE;1;290;NAO
1893;TV 43P SEMP LED SMART FULL HD;1;2150;NAO
1764;TV 43P TCL LED SMART FULL HD ANDROID COMANDO VOZ;1;2200;NAO
0964;UNIBOX (CASAL) SUDOESTE DALLAS 138 X 57 CM;1;450;NAO
1005;UNIBOX (SOLTEIRO) BELLO 0.88 X 1.88 C/ PILLOW;1;450;NAO
0038;VENT 40CM MONDIAL COLUNA SUPER POWER PRETO;1;280;NAO
1977;VENT OSCILANTE VENTIMAIS 30CM TURBO PRETO/BRONZE;1;150;NAO
1708;VENT OSTER POWER FRESH 2 EM 1 VERMELHO;1;220;NAO
1707;VENT OSTER SUPER BREEZE 2 EM 1 CINZA;1;220;NAO
1988;XICARA CAFE C/P 75ML PORC.BC  C24;1;231,74;NAO
1084;(ARMARIO) BALCÃO VOLARE JOSAN - CAM/OFF;2;400;NAO
1082;(ARMARIO) COZINHA VOLARE JOSAN - CAMELO/OFF;2;960;NAO
1083;(ARMARIO) PANELEIRO VOLARE JOSAN - CAMEL/OFF;2;280;NAO
0098;AMPLIFICADOR/ CONVERSOR DE RF USO-7300AX;2;35;NAO
0099;ANTENA PARABOLICA CENTURY 60 CM BANDA KU (CINZA);2;110;NAO
0892;ARMARIO MULTIUSO JOSAN FREE - BRANCO;2;360;NAO
1983;ARMARIO MULTIUSO VERSATILE - CINAMOMO;2;350;NAO
1092;BASE (QUEEN) PLUMATEX VELVET 79 X 198 X 30CM;2;240;NAO
1007;BASE (SOLTEIRO) BELLO 088 X 30;2;240;NAO
0941;BERÇO DELICATO C/ MINI CAMA TCIL - NEVE/NEVE;2;570;NAO
1673;CABECEIRA TURIM SLIM 1,40M COR74 GRUPOIII;2;500;NAO
1762;CAIXA DE SOM MONDIAL 550W RMS BLUETOOTH CM-550;2;730;NAO
1068;CHALEIRA ELETRICA 1.8L BEST INOX;2;125;NAO
0870;CHALEIRA ELETRICA PRATIC 2L MONDIAL INOX/PRETO;2;135;NAO
0920;COLCHÃO (BERÇO) SUDOESTE D20 70X130X12CM;2;160;NAO
1976;COLCHÃO (CASAL) DREAMS D33 CASAL 138 X 18;2;780;NAO
1668;COLCHÃO (QUEEN) SUDOESTE ISODREAM D45 158 X 24;2;1150;NAO
1090;COLCHÃO (SOLTEIRO) PLUMATEX SELECTUS D33 88 X 29;2;540;NAO
1665;CONJUNTO (CASAL) SUDOESTE BLACK WHITE 138 X 30;2;1480;NAO
0097;ESCORREDOR PRATOS 12LUG 2AND.CROMA;2;65;NAO
1678;FERRO BLACK DECKER FX1000 LILAZ;2;120;NAO
1984;FOGAO 4B ATLAS MILAO S/ACEND BRANCO;2;750;NAO
1900;FOGAO 5B ESMALTEC S/ACEND PRETO IDEAL POP;2;1050;NAO
2031;FRITADEIRA AIR FRYER SUMAY 4,6L 220V;2;380;NAO
1755;FRUTEIRA FLEX - BRANCO LAQ. PRETO FOSCO;2;260;NAO
1433;FRUTEIRA FLEX - PRATA MARTELADO LAQ. PRETO;2;260;NAO
1434;FRUTEIRA GOL CESTO PRETO - BRANCO LAQ. PRETO;2;220;NAO
0900;FRUTEIRA JOSAN RUBY - BRANCO;2;300;NAO
1752;FRUTEIRA MEGA - BRANCO LAQ. PRETO;2;330;NAO
0931;KIT COBRE-LEITO ULTRA LISE CASAL;2;120;NAO
1982;KIT COZINHA EVOLUTI 6 PTS JOSAN - CINAMO/OFF;2;560;NAO
2037;KIT COZINHA EVOLUTI 8 PTS JOSAN - CINAMO/OFF;2;700;NAO
1441;LAVADORA 15KG COLORMAQ PRATA 220V;2;620;NAO
0067;LIQ ARNO EASYMIX 550W 2VEL LN20 PRETO 220 VOLTS;2;140;NAO
1711;LIQ CADENCE TWIST 600W LIQ100 220V PRETO;2;120;NAO
0085;LIQ WALITA 550W PP VERMELHO 220 VOLTS;2;140;NAO
1693;MESA DE CENTRO REDONDA SORELLE - OFF WHITE;2;170;NAO
1714;MESA DE COMPUTADOR FENIX - AMENDOA;2;250;NAO
1694;MESA LATERAL REDONDA SORELLE - OFF WHITE;2;180;NAO
2041;MESA PLÁSTICA QUADRADA BRANCA LIBERTY PL 70CM;2;95;NAO
1726;MESA SAFIRA C/ 04 CAD. CASTANHO/CASTANHO;2;1060;NAO
1728;MESA SAFIRA C/ 06 CAD. CASTANHO/NATURAL;2;1250;NAO
1829;PANELA ALUM.POLIDO 4PCS REDAR;2;160;NAO
2043;PANELA DE PRESSÃO POLITA TRIUNFO 10L;2;160;NAO
2044;PANELA DE PRESSÃO POLITA TRIUNFO 7L;2;115;NAO
0952;PURIFICADOR AGUA PREMIUM BR COLORMARQ;2;790;NAO
0117;ROUPEIRO 6 PTAS ARIZONA TCIL - CINAMOMO/OFF;2;1250;NAO
0116;ROUPEIRO 6 PTAS ARIZONA TCIL - NEVE/NEVE;2;1250;NAO
